trade_id,session_id,event_family,regime,score_bucket,bars_held,outcome,pnl
T0001,S001,gap,normal,0.4-0.5,1,win,161.26
T0002,S001,impulse,volatile,0.3-0.4,1,win,161.26
T0003,S002,gap,volatile,0.6-0.7,1,loss,-251.24
T0004,S002,impulse,volatile,0.2-0.3,1,win,161.26
T0005,S003,gap,volatile,0.6-0.7,1,win,161.26
T0006,S003,prior_breakout,volatile,0.3-0.4,1,win,161.26
T0007,S004,gap,volatile,0.6-0.7,1,loss,-251.24
T0008,S004,impulse,volatile,0.2-0.3,1,loss,-251.24
T0009,S005,gap,volatile,0.6-0.7,1,win,161.26
T0010,S005,impulse,volatile,0.2-0.3,1,win,161.26
T0011,S006,gap,normal,0.4-0.5,1,win,161.26
T0012,S007,gap,volatile,0.6-0.7,1,win,161.26
T0013,S007,impulse,volatile,0.2-0.3,2,win,161.26
T0014,S008,gap,volatile,0.6-0.7,1,win,161.26
T0015,S008,prior_breakout,volatile,0.3-0.4,1,win,161.26
T0016,S009,gap,normal,0.6-0.7,1,loss,-251.24
T0017,S009,impulse,volatile,0.3-0.4,2,loss,-251.24
T0018,S010,gap,volatile,0.6-0.7,1,win,161.26
T0019,S010,impulse,volatile,0.2-0.3,1,loss,-251.24
T0020,S011,gap,volatile,0.6-0.7,1,win,161.26
T0021,S011,range_breakout,volatile,0.3-0.4,1,win,161.26
T0022,S012,gap,volatile,0.6-0.7,1,win,161.26
T0023,S012,impulse,volatile,0.2-0.3,1,win,161.26
T0024,S013,gap,volatile,0.7-0.8,1,win,161.26
T0025,S013,impulse,volatile,0.2-0.3,1,win,161.26
T0026,S014,gap,normal,0.4-0.5,1,win,161.26
T0027,S014,impulse,volatile,0.2-0.3,1,win,161.26
T0028,S015,gap,volatile,0.5-0.6,1,win,161.26
T0029,S015,impulse,volatile,0.2-0.3,1,loss,-251.24
T0030,S016,gap,normal,0.4-0.5,1,win,161.26
T0031,S016,range_breakout,normal,0.2-0.3,3,loss,-251.24
T0032,S017,gap,volatile,0.5-0.6,1,win,161.26
T0033,S017,impulse,volatile,0.2-0.3,1,loss,-251.24
T0034,S018,gap,normal,0.5-0.6,1,win,161.26
T0035,S018,impulse,normal,0.2-0.3,1,loss,-251.24
T0036,S019,gap,volatile,0.6-0.7,2,win,161.26
T0037,S019,impulse,volatile,0.2-0.3,1,loss,-251.24
T0038,S020,gap,volatile,0.5-0.6,1,win,161.26
T0039,S020,impulse,volatile,0.2-0.3,1,win,161.26
T0040,S021,gap,normal,0.6-0.7,1,win,161.26
T0041,S021,impulse,volatile,0.3-0.4,1,loss,-251.24
T0042,S022,gap,normal,0.5-0.6,1,win,161.26
T0043,S022,impulse,volatile,0.2-0.3,1,loss,-251.24
T0044,S023,gap,normal,0.5-0.6,1,loss,-251.24
T0045,S023,impulse,volatile,0.2-0.3,1,win,161.26
T0046,S024,gap,volatile,0.5-0.6,1,loss,-251.24
T0047,S024,impulse,volatile,0.2-0.3,1,loss,-251.24
T0048,S025,gap,volatile,0.6-0.7,1,win,161.26
T0049,S025,impulse,volatile,0.2-0.3,1,loss,-251.24
T0050,S026,gap,normal,0.3-0.4,1,win,161.26
T0051,S026,impulse,volatile,0.2-0.3,1,loss,-251.24
T0052,S027,gap,volatile,0.6-0.7,1,loss,-251.24
T0053,S027,impulse,volatile,0.3-0.4,2,loss,-251.24
T0054,S028,impulse,volatile,0.3-0.4,1,win,161.26
T0055,S028,impulse,volatile,0.3-0.4,2,loss,-251.24
T0056,S029,gap,normal,0.5-0.6,1,win,161.26
